Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Unique viewers,Stayed to watch (%),Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Comments added,Shares,End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%),Categories
VE3SiBBQzFg,AI Companies transforming the World – NVIDIA Spotlight,"Aug 10, 2025",169,47,0:00:19,11.48,46,15.23,1.0217,43,3,3,0,0,0,0,0,1,1,0,0,0,,0,251,0.3225,0,274,0.36,AI-Intro
V9h4s0vq588,Data Careers in AI:  How to Land a $100K+ Job,"Aug 9, 2025",303,24,0:01:07,22.35,19,,1.2632,15,4,4,0,0,0,0,0,1,1,8,0,0,,0,24,0.4515,0,820,2.2,AI-Careers
